
page=0

w:abandon, q:69
w:ability, q:157
w:able, q:384
w:aboard, q:4
w:abolish, q:50
w:abolition, q:21
w:about, q:1000
w:above, q:453
w:abroad, q:56
w:absence, q:114
w:absent, q:36
w:absolute, q:170
w:absorb, q:77
w:absurd, q:70
w:abuse, q:52
w:academic, q:36
w:accent, q:26
w:accept, q:316
w:access, q:28
w:accessible, q:13
w:accident, q:73
w:accommodate, q:18
w:accommodation, q:4
w:accompany, q:12
w:according to, q:185
w:account, q:168
w:accounting, q:5
w:accumulate, q:32
w:accurate, q:38
w:accuse, q:38
w:accused, q:10
w:accustom, q:64
w:accustomed, q:64
w:ache, q:20
w:achieve, q:165
w:achievement, q:69
w:acid, q:3
w:acknowledge, q:88
w:acquaint, q:45
w:acquire, q:139
w:acquisition, q:16
w:across, q:212
w:act, q:539
w:active, q:87
w:actor, q:102
w:actress, q:18
w:actual, q:124
w:add, q:200
w:addict, q:18
w:address, q:75
w:administration, q:110
w:admiral, q:5
w:admire, q:104
w:admission, q:13
w:admit, q:126
w:adopt, q:65
w:adult, q:219
w:advance, q:158
w:advanced, q:39
w:advantage, q:186
w:adventure, q:78
w:adverse, q:9
w:advertise, q:13
w:advice, q:77
w:advise, q:35
w:aerial, q:9
w:aeroplane, q:4
w:affair, q:140
w:affect, q:89
w:afford, q:127
w:afraid, q:182
w:after, q:1000
w:afternoon, q:48
w:afterwards, q:44
w:again, q:582
w:against, q:960
w:age, q:711
w:aged, q:49
w:agency, q:11
w:agent, q:44
w:aggressive, q:20
w:ago, q:143
w:agree, q:102
w:agreement, q:29
w:agriculture, q:9
w:ahead, q:86
w:aid, q:88
w:aim, q:200
w:air, q:343
w:airport, q:10
w:alarm, q:15
w:album, q:2
w:alcohol, q:30
w:algebra, q:4
w:alike, q:100
w:alive, q:174
w:all, q:1000
w:all right, q:40
w:alliance, q:19
w:alligator, q:5
w:allow, q:305
w:allowance, q:20
w:ally, q:17
w:almost, q:561
w:alone, q:524
w:along, q:303
w:aloud, q:20
w:alphabet, q:13
w:already, q:313
w:also, q:752
w:alter, q:64
w:alternative, q:38
w:although, q:196
w:altogether, q:96
w:always, q:1000
w:amateur, q:14
w:amaze, q:29
w:ambassador, q:10
w:ambition, q:124
w:ambulance, q:3
w:ambush, q:7
w:amend, q:14
w:among, q:579
w:amount, q:141
w:ample, q:30
w:amuse, q:46
w:anchor, q:20
w:and, q:1000
w:angel, q:170
w:anger, q:90
w:angle, q:33
w:angry, q:77
w:animal, q:268
w:ankle, q:5
w:anniversary, q:3
w:announce, q:29
w:annoy, q:18
w:annual, q:27
w:another, q:978
w:answer, q:265
